,X,Y,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STATE_ID,ALT_NAME,ST_FIPS,OWNER,TTL_STAFF,BEDS,TRAUMA,HELIPAD
1,-117.15130103,32.7979585300001,554,36992123,RADY CHILDREN'S HOSPITAL - SAN DIEGO,3020 CHILDRENS WAY,SAN DIEGO,CA,92123,4223,(858) 966-3001,CHILDREN,OPEN,444,SAN DIEGO,6073,USA,32.79795853,-117.15130103,622110,"CHILDREN'S HOSPITALS, GENERAL",https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,NOT AVAILABLE,080000023,RADY CHILDREN'S HOSPITAL - SAN DIEGO,6,NON-PROFIT,-999,444,LEVEL I PEDIATRIC,Y
2,-117.15447284,32.7992843500001,555,42492123,SHARP MEMORIAL HOSPITAL,7901 FROST ST,SAN DIEGO,CA,92123,2701,(858) 939-3400,GENERAL ACUTE CARE,OPEN,656,SAN DIEGO,6073,USA,32.79928435,-117.15447284,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,NOT AVAILABLE,080000036,SHARP MEMORIAL HOSPITAL,6,NON-PROFIT,-999,656,LEVEL II,Y
4,-117.09515955,32.7915625800001,557,20092120,KAISER FOUNDATION HOSPITAL - ZION,4647 ZION AVE,SAN DIEGO,CA,92120,2507,(619) 528-6295,GENERAL ACUTE CARE,OPEN,368,SAN DIEGO,6073,USA,32.79156258,-117.09515955,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,NOT AVAILABLE,080000144,KAISER FOUNDATION HOSPITALS,6,NON-PROFIT,-999,368,NOT AVAILABLE,N
11,-117.07531757,32.99118313,565,2692128,AURORA SAN DIEGO,11878 AVENUE OF INDUSTRY,SAN DIEGO,CA,92128,3423,(858) 487-3200,PSYCHIATRIC,OPEN,101,SAN DIEGO,6073,USA,32.99118313,-117.07531757,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,NOT AVAILABLE,080000665,"AURORA SAN DIEGO, LLC",6,PROPRIETARY,-999,101,NOT AVAILABLE,N
12,-117.15447621,32.80601161,566,42392111,SHARP MCDONALD CENTER,7989 LINDA VISTA RD,SAN DIEGO,CA,92111,5106,(858) 576-1200,REHABILITATION,OPEN,16,SAN DIEGO,6073,USA,32.80601161,-117.15447621,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,NOT AVAILABLE,080000705,SHARP MEMORIAL HOSPITAL,6,NON-PROFIT,-999,16,NOT AVAILABLE,N
15,-117.15497782,32.79829578,569,42292123,SHARP MARY BIRCH HOSPITAL FOR WOMEN AND NEWBORNS,3003 HEALTH CENTER DR,SAN DIEGO,CA,92123,2700,(858) 939-3400,GENERAL ACUTE CARE,OPEN,206,SAN DIEGO,6073,USA,32.79829578,-117.15497782,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,NOT AVAILABLE,080001470,SHARP MEMORIAL HOSPITAL,6,NON-PROFIT,-999,206,NOT AVAILABLE,Y
16,-117.0570646,32.77658639,570,1392120,ALVARADO HOSPITAL MEDICAL CENTER,6655 ALVARADO RD,SAN DIEGO,CA,92120,5208,(619) 229-3172,GENERAL ACUTE CARE,OPEN,222,SAN DIEGO,6073,USA,32.77658639,-117.0570646,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,NOT AVAILABLE,090000013,"ALVARADO HOSPITAL, LLC",6,PROPRIETARY,-999,222,NOT AVAILABLE,N
19,-117.16005359,32.7514306200001,573,41292103,SCRIPPS MERCY HOSPITAL,4077 5TH AVE,SAN DIEGO,CA,92103,2105,(619) 260-7101,GENERAL ACUTE CARE,OPEN,446,SAN DIEGO,6073,USA,32.75143062,-117.16005359,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,NOT AVAILABLE,090000025,SCRIPPS HEALTH,6,NON-PROFIT,-999,446,LEVEL I,Y
21,-117.1446454,32.75638366,576,23292104,KINDRED HOSPITAL - SAN DIEGO,1940 EL CAJON BLVD,SAN DIEGO,CA,92104,1005,(619) 543-4500,GENERAL ACUTE CARE,OPEN,70,SAN DIEGO,6073,USA,32.75638366,-117.1446454,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,NOT AVAILABLE,090000048,"THC - ORANGE COUNTY, LLC",6,PROPRIETARY,-999,70,NOT AVAILABLE,N
23,-117.16573138,32.7547702300001,579,51092103,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,200 W ARBOR DR,SAN DIEGO,CA,92103,1911,(619) 543-6475,GENERAL ACUTE CARE,OPEN,381,SAN DIEGO,6073,USA,32.75477023,-117.16573138,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,NOT AVAILABLE,090000154,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA - UCSD,6,GOVERNMENT - STATE,-999,381,LEVEL I,Y
24,-117.20206559,32.7536780900001,580,38792110,SAN DIEGO COUNTY PSYCHIATRIC HOSPITAL,3853 ROSECRANS ST,SAN DIEGO,CA,92110,3115,(619) 692-8232,PSYCHIATRIC,OPEN,109,SAN DIEGO,6073,USA,32.75367809,-117.20206559,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,NOT AVAILABLE,090000159,COUNTY OF SAN DIEGO,6,GOVERNMENT - LOCAL,-999,109,NOT AVAILABLE,N
26,-117.1605559,32.7510887,582,196784352,SCRIPPS MERCY HOSPITAL D/P APH,4077 5TH AVE,SAN DIEGO,CA,92103,2105,NOT AVAILABLE,PSYCHIATRIC,OPEN,36,SAN DIEGO,6073,USA,32.7510887,-117.1605559,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY/OTHER,2022/02/28 00:00:00+00,NOT AVAILABLE,090000347,SCRIPPS HEALTH,6,NON-PROFIT,-999,36,NOT AVAILABLE,Y
27,-117.05768127,32.7768583500001,583,70192120,ALVARADO HOSPITAL MEDICAL CENTER,6645 ALVARADO RD,SAN DIEGO,CA,92120,5208,(619) 229-3172,GENERAL ACUTE CARE,OPEN,80,SAN DIEGO,6073,USA,32.77685835,-117.05768127,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY/OTHER,2015/01/13 00:00:00+00,NOT AVAILABLE,090000839,"ALVARADO HOSPITAL, LLC",6,PROPRIETARY,-999,80,NOT AVAILABLE,N
28,-117.15976944,32.74962807,584,52092103,SELECT SPECIALTY HOSPITAL - SAN DIEGO,555 WASHINGTON ST,SAN DIEGO,CA,92103,2289,(619) 260-8300,GENERAL ACUTE CARE,OPEN,110,SAN DIEGO,6073,USA,32.74962807,-117.15976944,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY,2014/03/12 00:00:00+00,NOT AVAILABLE,090000977,"VIBRA HOSPITAL OF SAN DIEGO, LLC",6,PROPRIETARY,-999,110,NOT AVAILABLE,N
31,-117.15509633,32.79562758,776,42592123,SHARP MESA VISTA HOSPITAL,7850 VISTA HILL AVE,SAN DIEGO,CA,92123,2717,(858) 278-4110,PSYCHIATRIC,OPEN,159,SAN DIEGO,6073,USA,32.79562758,-117.15509633,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,NOT AVAILABLE,630008921,SHARP MEMORIAL HOSPITAL,6,NON-PROFIT,-999,159,NOT AVAILABLE,N
32,-117.15147716,32.798193,787,196784371,RADY CHILDREN'S HOSPITAL TRANSPLANT,3020 CHILDRENS WAY,SAN DIEGO,CA,92123,4223,NOT AVAILABLE,CHILDREN,OPEN,-999,SAN DIEGO,6073,USA,32.798193,-117.15147716,622110,"CHILDREN'S HOSPITALS, GENERAL",https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY/OTHER,2022/02/28 00:00:00+00,NOT AVAILABLE,630012195,RADY CHILDREN'S HOSPITAL - SAN DIEGO,6,NON-PROFIT,-999,-999,NOT AVAILABLE,Y
33,-117.166135,32.7542698,795,196784375,UNIVERSITY OF CALIFORNIA SAN DIEGO - TRANSPLANT,200 W ARBOR DR,SAN DIEGO,CA,92103,1911,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,-999,SAN DIEGO,6073,USA,32.7542698,-117.166135,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY/OTHER,2022/02/28 00:00:00+00,NOT AVAILABLE,630012612,NOT AVAILABLE,6,NOT AVAILABLE,-999,-999,NOT AVAILABLE,Y
34,-117.151407,32.7977575,803,196784376,RADY CHILDREN'S HOSPITAL - SAN DIEGO - PSYCHIATRIC,3020 CHILDRENS WAY,SAN DIEGO,CA,92123,4223,NOT AVAILABLE,CHILDREN,OPEN,24,SAN DIEGO,6073,USA,32.7977575,-117.151407,622110,"CHILDREN'S HOSPITALS, GENERAL",https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY/OTHER,2022/02/28 00:00:00+00,NOT AVAILABLE,630013773,RADY CHILDREN'S HOSPITAL - SAN DIEGO,6,NON-PROFIT,-999,24,NOT AVAILABLE,Y
36,-117.1252232,32.8303178900001,819,192092123,KAISER FOUNDATION HOSPITAL - SAN DIEGO,9455 CLAIREMONT MESA BLVD,SAN DIEGO,CA,92123,NOT AVAILABLE,(858) 266-5000,GENERAL ACUTE CARE,OPEN,253,SAN DIEGO,6073,USA,32.83031789,-117.1252232,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY/OTHER,2020/05/05 00:00:00+00,NOT AVAILABLE,630017096,KAISER FOUNDATION HOSPITALS,6,NON-PROFIT,-999,253,NOT AVAILABLE,N
40,-117.14593729,32.72752023,1298,17,NAVAL MEDICAL CENTER SAN DIEGO,34800 BOB WILSON DRIVE,SAN DIEGO,CA,92134,NOT AVAILABLE,(619) 532-6400,MILITARY,OPEN,272,SAN DIEGO,6073,USA,32.72752023,-117.14593729,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://tricare.mil/finddoctor/mtf,2021/12/02 00:00:00+00,IMAGERY/OTHER,2015/07/24 00:00:00+00,https://sandiego.tricare.mil,452,NAVAL MEDICAL CENTER SAN DIEGO,6,GOVERNMENT - FEDERAL,-999,272,NOT AVAILABLE,Y
41,-117.23241926,32.8755580500001,6590,3592161,SAN DIEGO VA MEDICAL CENTER,3350 LA JOLLA VILLAGE DRIVE,SAN DIEGO,CA,92161,0002,(858) 552-8585,MILITARY,OPEN,256,SAN DIEGO,6073,USA,32.87555805,-117.23241926,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.va.gov/find-locations,2021/01/11 00:00:00+00,IMAGERY/OTHER,2015/05/21 00:00:00+00,https://www.sandiego.va.gov/locations/directions.asp,VHA_664,NOT AVAILABLE,6,GOVERNMENT - FEDERAL,-999,256,NOT AVAILABLE,N
44,-117.07663222,32.74944563,7681,35892105,PROMISE HOSPITAL OF SAN DIEGO,5550 UNIVERSITY AVENUE,SAN DIEGO,CA,92105,NOT AVAILABLE,NOT AVAILABLE,LONG TERM CARE,CLOSED,57,SAN DIEGO,6073,USA,32.74944563,-117.07663222,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,2020/08/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,http://www.promisesandiego.com,NOT AVAILABLE,NOT AVAILABLE,6,PROPRIETARY,-999,57,NOT AVAILABLE,N
